DELHI,,,,,,,,,,,,,,,
Major,,,,,,,,,,,,,,,
AGE GROUPS,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,,,1,,0,1,0,0,0,0,3
15,PUERPERIUM (O00-O99),T,,0,,,1,,0,1,0,0,0,0,3
16,CERTAIN CONDITIONS ORIGINATING,M,,0,,,0,,0,0,0,0,0,0,82
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,,,0,,0,0,0,0,0,0,66
16,,T,,0,,,0,,0,0,0,0,0,0,148
17,"CONGENITAL MALFORMATIONS,",M,,0,,,0,,0,0,0,0,0,0,10
17,DEFORMATIONS AND CHROMOSOMAL,F,,0,,,1,,0,0,0,0,0,0,4
17,ABNORMALITIES (Q00-Q99),T,,0,,,1,,0,0,0,0,0,0,14
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,3,,,6,,16,16,14,7,47,0,123
18,CLINICAL  AND LABORATORY FINDINGS,F,,2,,,0,,3,13,8,2,112,0,154
18,N.E.C. (R00-R99),T,,5,,,6,,19,29,22,9,159,0,277
19,"INJURY, POISONING AND CERTAIN OTHER",M,,2,,,11,,18,11,8,3,5,0,82
19,CONSEQUENCES OF EXTERNAL,F,,0,,,7,,3,1,1,1,0,0,18
19,CAUSES (S00-T98),T,,2,,,18,,21,12,9,4,5,0,100
20,Codes for Special Purposes,M,,0,,,0,,0,0,1,0,0,0,1
20,(U00-U49),F,,0,,,0,,0,1,0,0,0,0,1
20,,T,,0,,,0,,0,1,1,0,0,0,2
,,M,,11,,,113,,199,259,280,134,283,0,1455
,A L L  C A U S E S,F,,6,,,46,,51,68,113,87,321,0,814
,,T,,17,,,159,,250,327,393,221,604,0,2269
