ASSAM,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,<1,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
12,,T,,0,4,3,3,,5,2,4,2,3,0,28
13,DISEASES OF THE MUSCULOSKELETAL,M,,2,2,5,3,,6,10,14,4,8,0,54
13,SYSTEM AND CONNECTIVE TISSUE,F,,1,3,5,8,,8,7,6,4,2,1,46
13,(M00-M99),T,,3,5,10,11,,14,17,20,8,10,1,100
14,DISEASES OF THE GENITOURINARY,M,,18,35,68,92,,147,249,260,117,260,10,1316
14,SYSTEM (N00-N99),F,,18,24,46,77,,102,134,196,73,185,8,902
14,,T,,36,59,114,169,,249,383,456,190,445,18,2218
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,64,81,,14,3,0,0,0,0,162
15,PUERPERIUM (O00-O99),T,,0,0,64,81,,14,3,0,0,0,0,162
16,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,,0,0,0,0,0,101,1260
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,,0,0,0,0,0,67,807
16,,T,,0,0,0,0,,0,0,0,0,0,168,2067
17,"CONGENITAL MALFORMATIONS,",M,,22,20,11,2,,4,4,11,2,12,9,317
17,DEFORMATIONS AND CHROMOSOMAL,F,,19,7,5,2,,1,2,5,3,5,2,160
17,ABNORMALITIES (Q00-Q99),T,,41,27,16,4,,5,6,16,5,17,11,477
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,174,215,736,1262,,1603,1964,2283,1104,2362,303,12912
18,CLINICAL  AND LABORATORY FINDINGS,F,,144,240,581,539,,586,817,1171,627,1687,153,7148
18,N.E.C. (R00-R99),T,,318,455,1317,1801,,2189,2781,3454,1731,4049,456,20060
19,"INJURY, POISONING AND CERTAIN OTHER",M,,85,73,269,345,,349,258,195,51,82,5,1736
19,CONSEQUENCES OF EXTERNAL,F,,63,52,112,141,,93,104,85,42,82,2,792
19,CAUSES (S00-T98),T,,148,125,381,486,,442,362,280,93,164,7,2528
20,Codes for Special Purposes,M,,11,13,69,177,,438,877,1386,730,1786,248,5764
